# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.020040080    0.000868927    0.000868927    0.000183379
    0.040080160    0.001738400    0.001738400    0.000366805
    0.060120240    0.002608967    0.002608967    0.000550325
    0.080160321    0.003481177    0.003481177    0.000733986
    0.100200401    0.004355582    0.004355582    0.000917836
    0.120240481    0.005232741    0.005232741    0.001101922
    0.140280561    0.006113214    0.006113214    0.001286292
    0.160320641    0.006997571    0.006997571    0.001470993
    0.180360721    0.007886389    0.007886389    0.001656075
    0.200400802    0.008780254    0.008780254    0.001841584
    0.220440882    0.009679761    0.009679761    0.002027571
    0.240480962    0.010585518    0.010585518    0.002214085
    0.260521042    0.011498145    0.011498145    0.002401174
    0.280561122    0.012418276    0.012418276    0.002588890
    0.300601202    0.013346561    0.013346561    0.002777284
    0.320641283    0.014283668    0.014283668    0.002966406
    0.340681363    0.015230282    0.015230282    0.003156308
    0.360721443    0.016187110    0.016187110    0.003347044
    0.380761523    0.017154881    0.017154881    0.003538667
    0.400801603    0.018134347    0.018134347    0.003731231
    0.420841683    0.019126289    0.019126289    0.003924791
    0.440881764    0.020131514    0.020131514    0.004119403
    0.460921844    0.021150861    0.021150861    0.004315124
    0.480961924    0.022185201    0.022185201    0.004512012
    0.501002004    0.023235442    0.023235442    0.004710127
    0.521042084    0.024302531    0.024302531    0.004909527
    0.541082164    0.025387457    0.025387457    0.005110275
    0.561122244    0.026491253    0.026491253    0.005312433
    0.581162325    0.027615003    0.027615003    0.005516066
    0.601202405    0.028759841    0.028759841    0.005721238
    0.621242485    0.029926961    0.029926961    0.005928016
    0.641282565    0.031117617    0.031117617    0.006136470
    0.661322645    0.032333131    0.032333131    0.006346669
    0.681362725    0.033574897    0.033574896    0.006558685
    0.701402806    0.034844386    0.034844386    0.006772592
    0.721442886    0.036143156    0.036143156    0.006988466
    0.741482966    0.037472858    0.037472858    0.007206383
    0.761523046    0.038835242    0.038835241    0.007426425
    0.781563126    0.040232166    0.040232166    0.007648673
    0.801603206    0.041665611    0.041665611    0.007873212
    0.821643287    0.043137686    0.043137686    0.008100128
    0.841683367    0.044650641    0.044650641    0.008329511
    0.861723447    0.046206884    0.046206883    0.008561454
    0.881763527    0.047808991    0.047808991    0.008796051
    0.901803607    0.049459729    0.049459729    0.009033402
    0.921843687    0.051162067    0.051162067    0.009273606
    0.941883768    0.052919205    0.052919205    0.009516770
    0.961923848    0.054734592    0.054734592    0.009763002
    0.981963928    0.056611954    0.056611954    0.010012413
    1.002004008    0.058555328    0.058555328    0.010265120
    1.022044088    0.060569092    0.060569092    0.010521242
    1.042084168    0.062658007    0.062658007    0.010780906
    1.062124248    0.064827261    0.064827261    0.011044238
    1.082164329    0.067082521    0.067082521    0.011311374
    1.102204409    0.069429993    0.069429992    0.011582452
    1.122244489    0.071876488    0.071876488    0.011857618
    1.142284569    0.074429507    0.074429507    0.012137020
    1.162324649    0.077097328    0.077097328    0.012420816
    1.182364729    0.079889117    0.079889117    0.012709167
    1.202404810    0.082815057    0.082815057    0.013002244
    1.222444890    0.085886495    0.085886494    0.013300221
    1.242484970    0.089116121    0.089116121    0.013603283
    1.262525050    0.092518183    0.092518183    0.013911622
    1.282565130    0.096108739    0.096108738    0.014225438
    1.302605210    0.099905962    0.099905961    0.014544940
    1.322645291    0.103930518    0.103930517    0.014870346
    1.342685371    0.108206014    0.108206014    0.015201885
    1.362725451    0.112759562    0.112759561    0.015539797
    1.382765531    0.117622465    0.117622465    0.015884331
    1.402805611    0.122831085    0.122831085    0.016235750
    1.422845691    0.128427928    0.128427927    0.016594330
    1.442885772    0.134463022    0.134463021    0.016960361
    1.462925852    0.140995692    0.140995691    0.017334144
    1.482965932    0.148096849    0.148096848    0.017716001
    1.503006012    0.155851998    0.155851997    0.018106266
    1.523046092    0.164365220    0.164365219    0.018505293
    1.543086172    0.173764521    0.173764519    0.018913454
    1.563126253    0.184209115    0.184209113    0.019331143
    1.583166333    0.195899474    0.195899473    0.019758773
    1.603206413    0.209091425    0.209091423    0.020196782
    1.623246493    0.224116204    0.224116202    0.020645633
    1.643286573    0.241409460    0.241409458    0.021105815
    1.663326653    0.261553752    0.261553749    0.021577848
    1.683366733    0.285341468    0.285341465    0.022062280
    1.703406814    0.313868085    0.313868081    0.022559695
    1.723446894    0.348667843    0.348667838    0.023070712
    1.743486974    0.391898116    0.391898110    0.023595990
    1.763527054    0.446539199    0.446539192    0.024136229
    1.783567134    0.516421934    0.516421925    0.024692177
    1.803607214    0.605437935    0.605437924    0.025264630
    1.823647295    0.714457549    0.714457535    0.025854439
    1.843687375    0.835280155    0.835280139    0.026462514
    1.863727455    0.950019799    0.950019781    0.027089826
    1.883767535    1.051799320    1.051799302    0.027737422
    1.903807615    1.164747552    1.164747535    0.028406419
    1.923847695    1.324408360    1.324408343    0.029098022
    1.943887776    1.545064539    1.545064523    0.029813526
    1.963927856    1.793196457    1.793196440    0.030554327
    1.983967936    1.970438026    1.970438010    0.031321932
    2.004008016    1.973012941    1.973012925    0.032117969
    2.024048096    1.814747135    1.814747121    0.032944203
    2.044088176    1.609203144    1.609203133    0.033802547
    2.064128257    1.447038950    1.447038941    0.034695080
    2.084168337    1.361217889    1.361217882    0.035624066
    2.104208417    1.354619672    1.354619666    0.036591974
    2.124248497    1.419272366    1.419272360    0.037601501
    2.144288577    1.535349999    1.535349994    0.038655603
    2.164328657    1.666020890    1.666020886    0.039757523
    2.184368737    1.779128512    1.779128510    0.040910830
    2.204408818    1.879000739    1.879000739    0.042119459
    2.224448898    1.979804498    1.979804501    0.043387760
    2.244488978    2.070259458    2.070259465    0.044720558
    2.264529058    2.131637715    2.131637728    0.046123214
    2.284569138    2.138441138    2.138441154    0.047601705
    2.304609218    2.062347347    2.062347361    0.049162718
    2.324649299    1.929651660    1.929651670    0.050813755
    2.344689379    1.811316400    1.811316404    0.052563264
    2.364729459    1.757948418    1.757948415    0.054420793
    2.384769539    1.782922751    1.782922741    0.056397175
    2.404809619    1.870867632    1.870867616    0.058504754
    2.424849699    1.978707507    1.978707487    0.060757654
    2.444889780    2.055939715    2.055939693    0.063172119
    2.464929860    2.099605371    2.099605350    0.065766922
    2.484969940    2.161868555    2.161868537    0.068563877
    2.505010020    2.294263408    2.294263392    0.071588480
    2.525050100    2.515275797    2.515275784    0.074870720
