# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.050000000    0.001678772    0.001669937    0.001673579
    0.054954955    0.001846521    0.001836802    0.001840808
    0.059909910    0.002014664    0.002004059    0.002008430
    0.064864865    0.002183238    0.002171744    0.002176481
    0.069819820    0.002352279    0.002339893    0.002344998
    0.074774775    0.002521824    0.002508544    0.002514018
    0.079729730    0.002691910    0.002677733    0.002683577
    0.084684685    0.002862576    0.002847498    0.002853713
    0.089639640    0.003033859    0.003017877    0.003024464
    0.094594595    0.003205797    0.003188907    0.003195869
    0.099549550    0.003378429    0.003360626    0.003367965
    0.104504505    0.003551794    0.003533075    0.003540791
    0.109459459    0.003725932    0.003706291    0.003714387
    0.114414414    0.003900882    0.003880315    0.003888793
    0.119369369    0.004076685    0.004055187    0.004064049
    0.124324324    0.004253381    0.004230948    0.004240195
    0.129279279    0.004431013    0.004407638    0.004417273
    0.134234234    0.004609622    0.004585300    0.004595325
    0.139189189    0.004789251    0.004763975    0.004774394
    0.144144144    0.004969943    0.004943707    0.004954522
    0.149099099    0.005151741    0.005124540    0.005135752
    0.154054054    0.005334691    0.005306517    0.005318130
    0.159009009    0.005518838    0.005489683    0.005501700
    0.163963964    0.005704226    0.005674085    0.005686509
    0.168918919    0.005890904    0.005859768    0.005872602
    0.173873874    0.006078918    0.006046780    0.006060027
    0.178828829    0.006268318    0.006235168    0.006248832
    0.183783784    0.006459151    0.006424982    0.006439066
    0.188738739    0.006651469    0.006616272    0.006630780
    0.193693694    0.006845321    0.006809088    0.006824023
    0.198648649    0.007040761    0.007003481    0.007018848
    0.203603604    0.007237841    0.007199505    0.007215307
    0.208558559    0.007436616    0.007397214    0.007413455
    0.213513514    0.007637139    0.007596661    0.007613346
    0.218468468    0.007839469    0.007797904    0.007815037
    0.223423423    0.008043662    0.008000999    0.008018584
    0.228378378    0.008249776    0.008206004    0.008224047
    0.233333333    0.008457873    0.008412980    0.008431485
    0.238288288    0.008668013    0.008621987    0.008640959
