# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     1.023121043    1.022019993    1.022474017
    0.050000000    1.389046599    1.387484653    1.388128503
    0.054954955    1.389166926    1.387604347    1.388248458
    0.059909910    1.389298714    1.387735444    1.388379840
    0.064864865    1.389441993    1.387877969    1.388522675
    0.069819820    1.389596790    1.388031953    1.388676995
    0.074774775    1.389763140    1.388197428    1.388842830
    0.079729730    1.389941075    1.388374428    1.389020216
    0.084684685    1.390130635    1.388562991    1.389209190
    0.089639640    1.390331858    1.388763156    1.389409791
    0.094594595    1.390544787    1.388974965    1.389622062
    0.099549550    1.390769467    1.389198463    1.389846047
    0.104504505    1.391005945    1.389433697    1.390081793
    0.109459459    1.391254270    1.389680716    1.390329351
    0.114414414    1.391514497    1.389939573    1.390588772
    0.119369369    1.391786679    1.390210323    1.390860113
    0.124324324    1.392070876    1.390493023    1.391143430
    0.129279279    1.392367147    1.390787735    1.391438784
    0.134234234    1.392675557    1.391094520    1.391746239
    0.139189189    1.392996171    1.391413445    1.392065861
    0.144144144    1.393329059    1.391744579    1.392397717
    0.149099099    1.393674292    1.392087993    1.392741881
    0.154054054    1.394031946    1.392443761    1.393098427
    0.159009009    1.394402098    1.392811962    1.393467432
    0.163963964    1.394784829    1.393192675    1.393848976
    0.168918919    1.395180223    1.393585983    1.394243145
    0.173873874    1.395588368    1.393991974    1.394650023
    0.178828829    1.396009353    1.394410737    1.395069702
    0.183783784    1.396443271    1.394842364    1.395502273
    0.188738739    1.396890219    1.395286952    1.395947834
    0.193693694    1.397350298    1.395744600    1.396406484
    0.198648649    1.397823609    1.396215411    1.396878326
    0.203603604    1.398310262    1.396699491    1.397363466
    0.208558559    1.398810364    1.397196949    1.397862014
    0.213513514    1.399324031    1.397707899    1.398374084
    0.218468468    1.399851379    1.398232457    1.398899792
    0.223423423    1.400392530    1.398770744    1.399439260
    0.228378378    1.400947610    1.399322885    1.399992612
    0.233333333    1.401516745    1.399889006    1.400559976
    0.238288288    1.402100071    1.400469241    1.401141484
    0.243243243    1.402697723    1.401063725    1.401737274
    0.248198198    1.403309842    1.401672598    1.402347485
    0.253153153    1.403936574    1.402296005    1.402972263
    0.258108108    1.404578067    1.402934095    1.403611756
    0.263063063    1.405234477    1.403587020    1.404266117
    0.268018018    1.405905961    1.404254938    1.404935505
    0.272972973    1.406592683    1.404938011    1.405620082
    0.277927928    1.407294810    1.405636405    1.406320015
    0.282882883    1.408012515    1.406350293    1.407035476
    0.287837838    1.408745975    1.407079851    1.407766643
    0.292792793    1.409495373    1.407825261    1.408513696
    0.297747748    1.410260898    1.408586709    1.409276825
    0.302702703    1.411042741    1.409364387    1.410056220
    0.307657658    1.411841103    1.410158493    1.410852080
    0.312612613    1.412656187    1.410969231    1.411664609
    0.317567568    1.413488204    1.411796808    1.412494017
    0.322522523    1.414337369    1.412641440    1.413340517
    0.327477477    1.415203905    1.413503348    1.414204332
    0.332432432    1.416088040    1.414382758    1.415085690
    0.337387387    1.416990009    1.415279904    1.415984824
    0.342342342    1.417910053    1.416195026    1.416901975
