# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.050000000    1.383212856    1.381676107    1.382309571
    0.054954955    1.382959915    1.381424494    1.382057410
    0.059909910    1.382691630    1.381157618    1.381789953
    0.064864865    1.382408844    1.380876316    1.381508040
    0.069819820    1.382112260    1.380581289    1.381212371
    0.074774775    1.381802469    1.380273124    1.380903535
    0.079729730    1.381479965    1.379952312    1.380582026
    0.084684685    1.381145169    1.379619272    1.380248263
    0.089639640    1.380798440    1.379274361    1.379902602
    0.094594595    1.380440087    1.378917887    1.379545353
    0.099549550    1.380070380    1.378550117    1.379176785
    0.104504505    1.379689556    1.378171289    1.378797134
    0.109459459    1.379297828    1.377781613    1.378406613
    0.114414414    1.378895388    1.377381281    1.378005411
    0.119369369    1.378482411    1.376970466    1.377593705
    0.124324324    1.378059059    1.376549330    1.377171656
    0.129279279    1.377625483    1.376118023    1.376739413
    0.134234234    1.377181826    1.375676686    1.376297120
    0.139189189    1.376728223    1.375225455    1.375844912
    0.144144144    1.376264805    1.374764460    1.375382918
    0.149099099    1.375791697    1.374293824    1.374911263
    0.154054054    1.375309021    1.373813669    1.374430069
    0.159009009    1.374816896    1.373324114    1.373939455
    0.163963964    1.374315439    1.372825275    1.373439537
    0.168918919    1.373804766    1.372317267    1.372930430
    0.173873874    1.373284989    1.371800201    1.372412247
    0.178828829    1.372756222    1.371274191    1.371885100
    0.183783784    1.372218577    1.370739348    1.371349102
    0.188738739    1.371672164    1.370195782    1.370804362
    0.193693694    1.371117094    1.369643603    1.370250992
    0.198648649    1.370553479    1.369082923    1.369689102
    0.203603604    1.369981429    1.368513849    1.369118801
    0.208558559    1.369401054    1.367936492    1.368540201
    0.213513514    1.368812464    1.367350963    1.367953410
    0.218468468    1.368215770    1.366757370    1.367358539
    0.223423423    1.367611084    1.366155824    1.366755698
    0.228378378    1.366998514    1.365546435    1.366144998
    0.233333333    1.366378173    1.364929314    1.365526549
    0.238288288    1.365750171    1.364304570    1.364900462
    0.243243243    1.365114620    1.363672314    1.364266848
    0.248198198    1.364471631    1.363032657    1.363625818
    0.253153153    1.363821315    1.362385710    1.362977482
    0.258108108    1.363163785    1.361731584    1.362321953
    0.263063063    1.362499152    1.361070390    1.361659342
    0.268018018    1.361827528    1.360402240    1.360989760
    0.272972973    1.361149026    1.359727244    1.360313319
    0.277927928    1.360463757    1.359045516    1.359630131
    0.282882883    1.359771833    1.358357166    1.358940308
    0.287837838    1.359073368    1.357662305    1.358243961
    0.292792793    1.358368473    1.356961046    1.357541204
    0.297747748    1.357657261    1.356253500    1.356832146
    0.302702703    1.356939843    1.355539779    1.356116902
    0.307657658    1.356216332    1.354819994    1.355395581
    0.312612613    1.355486840    1.354094256    1.354668296
    0.317567568    1.354751479    1.353362678    1.353935158
    0.322522523    1.354010361    1.352625369    1.353196279
    0.327477477    1.353263597    1.351882441    1.352451770
    0.332432432    1.352511298    1.351134005    1.351701742
    0.337387387    1.351753576    1.350380171    1.350946305
    0.342342342    1.350990542    1.349621049    1.350185571
    0.347297297    1.350222305    1.348856750    1.349419648
    0.352252252    1.349448976    1.348087382    1.348648648
    0.357207207    1.348670666    1.347313055    1.347872679
    0.362162162    1.347887483    1.346533878    1.347091851
    0.367117117    1.347099536    1.345749960    1.346306272
    0.372072072    1.346306935    1.344961407    1.345516050
    0.377027027    1.345509787    1.344168329    1.344721294
    0.381981982    1.344708199    1.343370831    1.343922111
    0.386936937    1.343902280    1.342569020    1.343118607
    0.391891892    1.343092135    1.341763003    1.342310888
    0.396846847    1.342277871    1.340952885    1.341499061
    0.401801802    1.341459593    1.340138770    1.340683230
    0.406756757    1.340637405    1.339320763    1.339863500
    0.411711712    1.339811413    1.338498967    1.339039974
    0.416666667    1.338981720    1.337673486    1.338212757
    0.421621622    1.338148428    1.336844422    1.337381950
    0.426576577    1.337311639    1.336011876    1.336547655
    0.431531532    1.336471456    1.335175950    1.335709974
    0.436486486    1.335627979    1.334336743    1.334869007
    0.441441441    1.334781308    1.333494355    1.334024854
    0.446396396    1.333931542    1.332648885    1.333177613
    0.451351351    1.333078780    1.331800430    1.332327383
    0.456306306    1.332223119    1.330949088    1.331474260
    0.461261261    1.331364656    1.330094955    1.330618343
    0.466216216    1.330503488    1.329238127    1.329759726
    0.471171171    1.329639709    1.328378698    1.328898503
    0.476126126    1.328773414    1.327516762    1.328034771
    0.481081081    1.327904696    1.326652412    1.327168620
    0.486036036    1.327033647    1.325785740    1.326300144
    0.490990991    1.326160361    1.324916837    1.325429435
    0.495945946    1.325284927    1.324045794    1.324556581
    0.500900901    1.324407434    1.323172700    1.323681675
    0.505855856    1.323527974    1.322297644    1.322804803
    0.510810811    1.322646632    1.321420712    1.321926053
    0.515765766    1.321763497    1.320541993    1.321045514
    0.520720721    1.320878654    1.319661570    1.320163269
    0.525675676    1.319992189    1.318779530    1.319279405
    0.530630631    1.319104186    1.317895956    1.318394006
    0.535585586    1.318214728    1.317010931    1.317507153
    0.540540541    1.317323898    1.316124536    1.316618930
    0.545495495    1.316431777    1.315236853    1.315729418
    0.550450450    1.315538445    1.314347962    1.314838696
    0.555405405    1.314643982    1.313457941    1.313946844
    0.560360360    1.313748466    1.312566868    1.313053940
    0.565315315    1.312851974    1.311674821    1.312160061
    0.570270270    1.311954584    1.310781875    1.311265283
    0.575225225    1.311056369    1.309888106    1.310369681
    0.580180180    1.310157405    1.308993587    1.309473330
    0.585135135    1.309257766    1.308098392    1.308576303
    0.590090090    1.308357523    1.307202593    1.307678672
    0.595045045    1.307456748    1.306306259    1.306780508
    0.600000000    1.306555511    1.305409463    1.305881881
    0.604954955    1.305653882    1.304512272    1.304982861
    0.609909910    1.304751929    1.303614755    1.304083515
    0.614864865    1.303849720    1.302716979    1.303183912
    0.619819820    1.302947321    1.301819010    1.302284117
    0.624774775    1.302044798    1.300920913    1.301384195
    0.629729730    1.301142214    1.300022752    1.300484211
    0.634684685    1.300239634    1.299124590    1.299584228
    0.639639640    1.299337120    1.298226490    1.298684309
    0.644594595    1.298434733    1.297328513    1.297784514
    0.649549550    1.297532535    1.296430718    1.296884904
    0.654504505    1.296630584    1.295533165    1.295985538
    0.659459459    1.295728939    1.294635913    1.295086476
    0.664414414    1.294827657    1.293739019    1.294187773
    0.669369369    1.293926796    1.292842539    1.293289487
    0.674324324    1.293026412    1.291946528    1.292391673
    0.679279279    1.292126558    1.291051041    1.291494386
    0.684234234    1.291227288    1.290156132    1.290597680
    0.689189189    1.290328657    1.289261853    1.289701607
    0.694144144    1.289430714    1.288368256    1.288806218
    0.699099099    1.288533512    1.287475391    1.287911566
    0.704054054    1.287637101    1.286583309    1.287017699
    0.709009009    1.286741530    1.285692059    1.286124668
    0.713963964    1.285846846    1.284801687    1.285232519
    0.718918919    1.284953098    1.283912243    1.284341300
    0.723873874    1.284060332    1.283023771    1.283451059
    0.728828829    1.283168593    1.282136317    1.282561839
    0.733783784    1.282277927    1.281249927    1.281673685
    0.738738739    1.281388377    1.280364642    1.280786643
    0.743693694    1.280499985    1.279480507    1.279900753
    0.748648649    1.279612795    1.278597563    1.279016059
    0.753603604    1.278726848    1.277715851    1.278132601
    0.758558559    1.277842183    1.276835411    1.277250420
    0.763513514    1.276958841    1.275956284    1.276369555
    0.768468468    1.276076861    1.275078507    1.275490045
    0.773423423    1.275196279    1.274202118    1.274611928
    0.778378378    1.274317135    1.273327155    1.273735241
    0.783333333    1.273439463    1.272453653    1.272860021
    0.788288288    1.272563300    1.271581648    1.271986302
    0.793243243    1.271688679    1.270711174    1.271114119
    0.798198198    1.270815637    1.269842266    1.270243507
    0.803153153    1.269944205    1.268974957    1.269374498
    0.808108108    1.269074416    1.268109279    1.268507125
