# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000    4.486076860    4.486076876    2.930545481
    0.020040080    4.486192602    4.486192617    2.930569951
    0.040080160    4.486539900    4.486539915    2.930643366
    0.060120240    4.487118971    4.487118986    2.930765745
    0.080160321    4.487930176    4.487930192    2.930937120
    0.100200401    4.488974025    4.488974040    2.931157534
    0.120240481    4.490251172    4.490251187    2.931427045
    0.140280561    4.491762420    4.491762436    2.931745721
    0.160320641    4.493508722    4.493508737    2.932113643
    0.180360721    4.495491182    4.495491197    2.932530908
    0.200400802    4.497711058    4.497711073    2.932997622
    0.220440882    4.500169764    4.500169779    2.933513905
    0.240480962    4.502868874    4.502868889    2.934079892
    0.260521042    4.505810123    4.505810138    2.934695729
    0.280561122    4.508995412    4.508995428    2.935361576
    0.300601202    4.512426814    4.512426829    2.936077607
    0.320641283    4.516106571    4.516106587    2.936844008
    0.340681363    4.520037110    4.520037125    2.937660980
    0.360721443    4.524221036    4.524221051    2.938528739
    0.380761523    4.528661146    4.528661161    2.939447512
    0.400801603    4.533360434    4.533360449    2.940417544
    0.420841683    4.538322093    4.538322108    2.941439091
    0.440881764    4.543549527    4.543549542    2.942512427
    0.460921844    4.549046357    4.549046371    2.943637838
    0.480961924    4.554816427    4.554816442    2.944815628
    0.501002004    4.560863818    4.560863833    2.946046114
    0.521042084    4.567192854    4.567192869    2.947329632
    0.541082164    4.573808114    4.573808128    2.948666530
    0.561122244    4.580714440    4.580714454    2.950057177
    0.581162325    4.587916954    4.587916969    2.951501956
    0.601202405    4.595421071    4.595421086    2.953001266
    0.621242485    4.603232508    4.603232523    2.954555528
    0.641282565    4.611357305    4.611357320    2.956165177
    0.661322645    4.619801838    4.619801853    2.957830667
    0.681362725    4.628572839    4.628572853    2.959552474
    0.701402806    4.637677414    4.637677429    2.961331089
    0.721442886    4.647123067    4.647123082    2.963167025
    0.741482966    4.656917718    4.656917733    2.965060816
    0.761523046    4.667069732    4.667069746    2.967013016
    0.781563126    4.677587944    4.677587958    2.969024200
    0.801603206    4.688481688    4.688481702    2.971094966
    0.821643287    4.699760830    4.699760844    2.973225934
    0.841683367    4.711435803    4.711435817    2.975417748
    0.861723447    4.723517642    4.723517656    2.977671077
    0.881763527    4.736018030    4.736018044    2.979986613
    0.901803607    4.748949338    4.748949352    2.982365074
    0.921843687    4.762324680    4.762324694    2.984807206
    0.941883768    4.776157965    4.776157979    2.987313781
    0.961923848    4.790463957    4.790463970    2.989885599
    0.981963928    4.805258341    4.805258355    2.992523490
    1.002004008    4.820557800    4.820557814    2.995228314
    1.022044088    4.836380091    4.836380104    2.998000962
    1.042084168    4.852744138    4.852744151    3.000842359
    1.062124248    4.869670132    4.869670145    3.003753460
    1.082164329    4.887179642    4.887179656    3.006735259
    1.102204409    4.905295742    4.905295755    3.009788784
    1.122244489    4.924043146    4.924043159    3.012915099
    1.142284569    4.943448371    4.943448385    3.016115311
    1.162324649    4.963539910    4.963539923    3.019390563
    1.182364729    4.984348434    4.984348447    3.022742043
    1.202404810    5.005907016    5.005907028    3.026170983
    1.222444890    5.028251393    5.028251405    3.029678659
    1.242484970    5.051420257    5.051420270    3.033266395
    1.262525050    5.075455595    5.075455607    3.036935566
    1.282565130    5.100403071    5.100403083    3.040687597
    1.302605210    5.126312477    5.126312489    3.044523967
    1.322645291    5.153238249    5.153238261    3.048446212
    1.342685371    5.181240066    5.181240078    3.052455929
    1.362725451    5.210383552    5.210383563    3.056554772
    1.382765531    5.240741097    5.240741108    3.060744464
    1.402805611    5.272392826    5.272392837    3.065026794
    1.422845691    5.305427736    5.305427747    3.069403621
    1.442885772    5.339945053    5.339945064    3.073876878
    1.462925852    5.376055839    5.376055850    3.078448579
    1.482965932    5.413884909    5.413884920    3.083120817
    1.503006012    5.453573122    5.453573132    3.087895773
    1.523046092    5.495280107    5.495280116    3.092775715
    1.543086172    5.539187506    5.539187516    3.097763012
    1.563126253    5.585502781    5.585502790    3.102860129
    1.583166333    5.634463593    5.634463602    3.108069638
    1.603206413    5.686342641    5.686342649    3.113394223
    1.623246493    5.741452536    5.741452543    3.118836688
    1.643286573    5.800149638    5.800149645    3.124399957
    1.663326653    5.862834353    5.862834359    3.130087090
    1.683366733    5.929942221    5.929942227    3.135901286
    1.703406814    6.001913307    6.001913312    3.141845891
    1.723446894    6.079112468    6.079112472    3.147924409
    1.743486974    6.161641550    6.161641554    3.154140510
    1.763527054    6.248923408    6.248923411    3.160498042
    1.783567134    6.338850768    6.338850770    3.167001041
    1.803607214    6.426334434    6.426334436    3.173653745
    1.823647295    6.502028148    6.502028150    3.180460606
    1.843687375    6.555398549    6.555398554    3.187426303
    1.863727455    6.587844765    6.587844772    3.194555762
    1.883767535    6.621511519    6.621511530    3.201854170
    1.903807615    6.674449616    6.674449629    3.209326993
    1.923847695    6.730516449    6.730516462    3.216979997
    1.943887776    6.740491212    6.740491226    3.224819274
    1.963927856    6.641201473    6.641201488    3.232851261
    1.983967936    6.406660600    6.406660617    3.241082769
    2.004008016    6.119414199    6.119414219    3.249521013
    2.024048096    5.924055057    5.924055078    3.258173643
    2.044088176    5.883084844    5.883084866    3.267048782
    2.064128257    5.962653924    5.962653947    3.276155063
    2.084168337    6.106811904    6.106811925    3.285501674
    2.104208417    6.271945384    6.271945405    3.295098404
    2.124248497    6.424221932    6.424221952    3.304955703
    2.144288577    6.534088863    6.534088884    3.315084735
    2.164328657    6.587844605    6.587844626    3.325497448
    2.184368737    6.604959161    6.604959182    3.336206653
    2.204408818    6.611733047    6.611733069    3.347226101
    2.224448898    6.602530977    6.602530998    3.358570582
    2.244488978    6.563731721    6.563731740    3.370256033
    2.264529058    6.496291745    6.496291761    3.382299659
    2.284569138    6.407626898    6.407626907    3.394720067
    2.304609218    6.340377581    6.340377581    3.407537428
    2.324649299    6.360218464    6.360218457    3.420773651
    2.344689379    6.483605916    6.483605906    3.434452592
    2.364729459    6.674724964    6.674724952    3.448600287
    2.384769539    6.885061632    6.885061619    3.463245228
    2.404809619    7.071428330    7.071428319    3.478418672
    2.424849699    7.210290744    7.210290737    3.494155013
    2.444889780    7.325565470    7.325565469    3.510492207
    2.464929860    7.478372281    7.478372285    3.527472272
    2.484969940    7.700523621    7.700523627    3.545141880
    2.505010020    7.970352717    7.970352724    3.563553047
    2.525050100    8.240616858    8.240616864    3.582763963
    2.545090180    8.465827633    8.465827639    3.602839969
    2.565130261    8.631805300    8.631805305    3.623854723
    2.585170341    8.767884337    8.767884341    3.645891605
    2.605210421    8.914422043    8.914422044    3.669045381
    2.625250501    9.111883608    9.111883603    3.693424207
    2.645290581    9.387665661    9.387665647    3.719152001
    2.665330661    9.704696249    9.704696225    3.746371249
    2.685370741    9.966329395    9.966329362    3.775246225
    2.705410822   10.062431713   10.062431675    3.805966559
    2.725450902    9.889631781    9.889631741    3.838750832
    2.745490982    9.369445924    9.369445886    3.873849428
    2.765531062    8.493621601    8.493621569    3.911544797
    2.785571142    7.379767462    7.379767436    3.952145031
    2.805611222    6.224565745    6.224565728    3.995961721
    2.825651303    5.148410624    5.148410619    4.043252268
    2.845691383    4.146150238    4.146150250    4.094083778
    2.865731463    3.178131416    3.178131445    4.148028686
    2.885771543    2.288128566    2.288128608    4.203522707
    2.905811623    1.592553323    1.592553373    4.256664049
    2.925851703    1.157817169    1.157817218    4.299633786
    2.945891784    0.965759522    0.965759566    4.321078544
    2.965931864    0.926667125    0.926667166    4.314339433
    2.985971944    0.933891037    0.933891078    4.290889360
    3.006012024    0.953456953    0.953456997    4.273256153
    3.026052104    1.021407448    1.021407495    4.270496193
    3.046092184    1.170322381    1.170322429    4.273802328
    3.066132265    1.392886403    1.392886451    4.262424260
    3.086172345    1.673264981    1.673265029    4.214438088
    3.106212425    1.974683089    1.974683139    4.126467751
    3.126252505    2.215262948    2.215263004    4.020892719
    3.146292585    2.306061285    2.306061351    3.931518414
    3.166332665    2.187551879    2.187551957    3.879395476
    3.186372745    1.853154585    1.853154674    3.864090801
    3.206412826    1.376825538    1.376825632    3.878430087
    3.226452906    0.885826900    0.885826989    3.915150535
    3.246492986    0.483862428    0.483862505    3.957132918
    3.266533066    0.211485034    0.211485098    3.984498175
    3.286573146    0.072752897    0.072752954    3.988412127
    3.306613226    0.056731927    0.056731985    3.962910075
    3.326653307    0.126321961    0.126322027    3.898686312
    3.346693387    0.228589411    0.228589487    3.805718242
    3.366733467    0.330747592    0.330747674    3.717228045
    3.386773547    0.427327167    0.427327254    3.660077459
    3.406813627    0.523905725    0.523905814    3.644941986
    3.426853707    0.625824314    0.625824406    3.661742006
    3.446893788    0.739163652    0.739163746    3.681812711
    3.466933868    0.869405282    0.869405378    3.681982802
    3.486973948    1.014660466    1.014660563    3.659881482
    3.507014028    1.153833458    1.153833555    3.627686997
    3.527054108    1.253800492    1.253800588    3.603273982
    3.547094188    1.306607906    1.306608000    3.602227212
    3.567134269    1.345211709    1.345211799    3.631773181
    3.587174349    1.403603166    1.403603250    3.682759389
    3.607214429    1.479728297    1.479728372    3.727100919
    3.627254509    1.547624659    1.547624719    3.737575302
    3.647294589    1.569596675    1.569596718    3.711894861
    3.667334669    1.501087134    1.501087161    3.670327883
    3.687374749    1.339985881    1.339985897    3.627366850
    3.707414830    1.175487521    1.175487531    3.574428573
    3.727454910    1.102393866    1.102393876    3.503427484
    3.747494990    1.108266397    1.108266413    3.432403120
    3.767535070    1.109075687    1.109075711    3.386027921
    3.787575150    1.047685560    1.047685590    3.372756535
