# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.060120240    0.015991311    0.015991311    0.015991311
    0.120240481    0.032049103    0.032049103    0.032049105
    0.180360721    0.048240637    0.048240637    0.048240639
    0.240480962    0.064634748    0.064634748    0.064634751
    0.300601202    0.081302680    0.081302680    0.081302683
    0.360721443    0.098318981    0.098318981    0.098318985
    0.420841683    0.115762478    0.115762478    0.115762483
    0.480961924    0.133717362    0.133717361    0.133717367
    0.541082164    0.152274412    0.152274412    0.152274418
    0.601202405    0.171532404    0.171532403    0.171532411
    0.661322645    0.191599736    0.191599735    0.191599744
    0.721442886    0.212596350    0.212596350    0.212596360
    0.781563126    0.234656002    0.234656001    0.234656012
    0.841683367    0.257928983    0.257928982    0.257928995
    0.901803607    0.282585424    0.282585423    0.282585437
    0.961923848    0.308819312    0.308819311    0.308819327
    1.022044088    0.336853450    0.336853448    0.336853466
    1.082164329    0.366945619    0.366945616    0.366945637
    1.142284569    0.399396313    0.399396310    0.399396333
    1.202404810    0.434558541    0.434558537    0.434558564
    1.262525050    0.472850381    0.472850376    0.472850407
    1.322645291    0.514771235    0.514771229    0.514771264
    1.382765531    0.560923130    0.560923123    0.560923164
    1.442885772    0.612038995    0.612038987    0.612039033
    1.503006012    0.669020709    0.669020699    0.669020753
    1.563126253    0.732991103    0.732991090    0.732991154
    1.623246493    0.805366204    0.805366188    0.805366264
    1.683366733    0.887957482    0.887957461    0.887957552
    1.743486974    0.983119489    0.983119463    0.983119573
    1.803607214    1.093967947    1.093967913    1.093968049
    1.863727455    1.224710071    1.224710027    1.224710195
    1.923847695    1.381159280    1.381159223    1.381159435
    1.983967936    1.571563260    1.571563185    1.571563457
    2.044088176    1.807985455    1.807985352    1.807985711
    2.104208417    2.108707767    2.108707626    2.108708109
    2.164328657    2.502614200    2.502613998    2.502614671
    2.224448898    3.037642927    3.037642628    3.037643602
    2.284569138    3.798151340    3.798150879    3.798152358
    2.344689379    4.943225703    4.943224950    4.943227333
    2.404809619    6.797516910    6.797515592    6.797519727
    2.464929860   10.075292877   10.075290381   10.075298180
    2.525050100   16.339494423   16.339489489   16.339504852
    2.585170341   27.381121591   27.381113994   27.381136999
