# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000   17.604794636   17.604796272   17.604802103
    0.060120240   17.609581547   17.609583184   17.609589014
    0.120240481   17.623962030   17.623963667   17.623969498
    0.180360721   17.647995560   17.647997197   17.648003029
    0.240480962   17.681782031   17.681783668   17.681789502
    0.300601202   17.725462922   17.725464559   17.725470394
    0.360721443   17.779222972   17.779224608   17.779230446
    0.420841683   17.843292401   17.843294037   17.843299878
    0.480961924   17.917949735   17.917951371   17.917957215
    0.541082164   18.003525301   18.003526937   18.003532784
    0.601202405   18.100405488   18.100407124   18.100412976
    0.661322645   18.209037891   18.209039527   18.209045384
    0.721442886   18.329937477   18.329939112   18.329944974
    0.781563126   18.463693962   18.463695597   18.463701466
    0.841683367   18.610980630   18.610982265   18.610988140
    0.901803607   18.772564870   18.772566504   18.772572388
    0.961923848   18.949320810   18.949322442   18.949328335
    1.022044088   19.142244501   19.142246132   19.142252036
    1.082164329   19.352472260   19.352473890   19.352479805
    1.142284569   19.581302918   19.581304546   19.581310474
    1.202404810   19.830224988   19.830226615   19.830232558
    1.262525050   20.100950063   20.100951688   20.100957647
    1.322645291   20.395454170   20.395455792   20.395461770
    1.382765531   20.716029433   20.716031051   20.716037051
    1.442885772   21.065349200   21.065350813   21.065356839
    1.503006012   21.446550998   21.446552606   21.446558661
    1.563126253   21.863343385   21.863344986   21.863351076
    1.623246493   22.320145282   22.320146874   22.320153005
    1.683366733   22.822270129   22.822271712   22.822277891
    1.743486974   23.376172880   23.376174449   23.376180685
    1.803607214   23.989786602   23.989788155   23.989794461
    1.863727455   24.672989247   24.672990779   24.672997170
    1.923847695   25.438263043   25.438264547   25.438271044
    1.983967936   26.301644508   26.301645977   26.301652607
    2.044088176   27.284120797   27.284122218   27.284129018
    2.104208417   28.413720842   28.413722201   28.413729222
    2.164328657   29.728689618   29.728690890   29.728698206
    2.224448898   31.282297160   31.282298313   31.282306027
    2.284569138   33.149775141   33.149776126   33.149784388
    2.344689379   35.436170177   35.436170927   35.436179946
    2.404809619   38.272854373   38.272854812   38.272864814
    2.464929860   41.727164959   41.727165121   41.727175968
    2.525050100   45.203599403   45.203600123   45.203609049
    2.585170341   44.817209568   44.817214735   44.817209179
    2.645290581   34.061202825   34.061213832   34.061191287
    2.705410822   21.011349057   21.011360604   21.011340878
    2.765531062   14.479865115   14.479870208   14.479869091
    2.825651303   16.898789470   16.898790835   16.898799786
    2.885771543   21.997357388   21.997358557   21.997368181
    2.945891784   27.405746175   27.405747863   27.405756406
    3.006012024   33.004833817   33.004836104   33.004843525
    3.066132265   39.112291130   39.112293985   39.112300525
    3.126252505   45.997966569   45.997969636   45.997976068
    3.186372745   53.066404976   53.066406124   53.066416018
    3.246492986   57.002979844   57.002975423   57.002994259
    3.306613226   57.809156215   57.809155923   57.809164977
    3.366733467   53.304666121   53.304668917   53.304661911
    3.426853707   30.619369336   30.619368945   30.619365349
    3.486973948    2.862898060    2.862896252    2.862904515
    3.547094188  -14.255192078  -14.255191364  -14.255182117
    3.607214429  -17.172586017  -17.172586862  -17.172576178
    3.667334669  -33.748337070  -33.748341950  -33.748328473
    3.727454910  -46.200759558  -46.200760023  -46.200750640
    3.787575150  -41.831269940  -41.831267971  -41.831260654
    3.847695391  -33.836555144  -33.836552978  -33.836545869
    3.907815631  -27.002629522  -27.002627803  -27.002620116
    3.967935872  -22.306773921  -22.306772701  -22.306764674
    4.028056112  -18.515022509  -18.515021028  -18.515014258
    4.088176353  -14.601834747  -14.601833217  -14.601826793
    4.148296593  -10.736455366  -10.736453887  -10.736447396
    4.208416834   -7.092736807   -7.092735346   -7.092728799
    4.268537074   -3.732142272   -3.732140842   -3.732134142
    4.328657315   -0.477368200   -0.477367285   -0.477359678
    4.388777555    1.714238123    1.714236895    1.714247268
    4.448897796    0.882594852    0.882592915    0.882603687
    4.509018036   -2.207847198   -2.207845277   -2.207841025
    4.569138277   -5.433186765   -5.433184338   -5.433179967
    4.629258517   -4.773924227   -4.773922474   -4.773916493
    4.689378758   -3.006399537   -3.006396780   -3.006393490
    4.749498998   -5.145088245   -5.145083539   -5.145084513
    4.809619238   -7.313181559   -7.313178404   -7.313174926
    4.869739479   -7.810176336   -7.810174875   -7.810166874
    4.929859719   -8.196442085   -8.196441021   -8.196432315
    4.989979960   -7.203191800   -7.203189714   -7.203184092
    5.050100200   -5.656330408   -5.656328023   -5.656323631
    5.110220441   -2.781695429   -2.781693418   -2.781688225
    5.170340681    0.808828124    0.808830026    0.808835579
    5.230460922    3.026458511    3.026460566    3.026466309
    5.290581162    0.081327929    0.081330423    0.081335922
    5.350701403   -5.331952797   -5.331949953   -5.331945932
    5.410821643   -9.769613398   -9.769610470   -9.769607538
    5.470941884  -13.430275379  -13.430273599  -13.430268217
    5.531062124  -13.945700859  -13.945699668  -13.945692811
    5.591182365  -12.208584190  -12.208582900  -12.208576388
    5.651302605  -11.281019343  -11.281017950  -11.281011184
    5.711422846  -11.835395587  -11.835394492  -11.835387393
    5.771543086  -13.363126699  -13.363125688  -13.363119376
    5.831663327  -12.887725061  -12.887723554  -12.887717127
    5.891783567  -11.131472117  -11.131470729  -11.131463311
    5.951903808  -10.717592404  -10.717590791  -10.717583052
    6.012024048  -11.285022148  -11.285019731  -11.285014094
    6.072144289  -11.177162535  -11.177160496  -11.177155439
    6.132264529  -12.095481123  -12.095479810  -12.095474225
    6.192384770  -13.164212569  -13.164211188  -13.164205191
    6.252505010  -12.349717461  -12.349715916  -12.349709804
    6.312625251  -11.155408744  -11.155407002  -11.155400761
    6.372745491  -10.897994623  -10.897992610  -10.897986096
    6.432865731  -10.983681184  -10.983679416  -10.983673020
    6.492985972  -10.241934059  -10.241932418  -10.241926318
    6.553106212   -9.208904978   -9.208903341   -9.208897303
    6.613226453   -8.198867638   -8.198865985   -8.198859943
    6.673346693   -7.246838241   -7.246836570   -7.246830512
    6.733466934   -6.388813281   -6.388811597   -6.388805468
    6.793587174   -5.923059036   -5.923057362   -5.923050926
    6.853707415   -6.380761714   -6.380760119   -6.380753231
    6.913827655   -6.985936571   -6.985935015   -6.985928367
    6.973947896   -6.634518299   -6.634516720   -6.634510392
    7.034068136   -5.858588675   -5.858587085   -5.858580784
    7.094188377   -5.058156945   -5.058155306   -5.058149103
    7.154308617   -4.502924943   -4.502923113   -4.502917490
    7.214428858   -4.666317867   -4.666315844   -4.666310850
    7.274549098   -5.330169442   -5.330167700   -5.330161828
    7.334669339   -5.598869022   -5.598867717   -5.598860662
    7.394789579   -5.395204793   -5.395203335   -5.395196558
    7.454909820   -4.820707099   -4.820705386   -4.820699184
    7.515030060   -4.607312321   -4.607310039   -4.607305275
    7.575150301   -5.061674458   -5.061672112   -5.061667544
    7.635270541   -5.057721414   -5.057719608   -5.057713679
    7.695390782   -4.676587860   -4.676586289   -4.676579780
    7.755511022   -4.371198093   -4.371196669   -4.371189859
    7.815631263   -4.302789415   -4.302787858   -4.302781317
    7.875751503   -4.092300125   -4.092298479   -4.092292056
    7.935871743   -3.931570018   -3.931568376   -3.931561889
    7.995991984   -3.630516557   -3.630514852   -3.630508440
    8.056112224   -3.060622929   -3.060621204   -3.060614818
    8.116232465   -2.630900003   -2.630898370   -2.630891805
