# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   17.599272410   17.599274002   17.599279671
    0.060120240   17.583546420   17.583548013   17.583553681
    0.120240481   17.553371428   17.553373021   17.553378688
    0.180360721   17.513779633   17.513781226   17.513786891
    0.240480962   17.464991187   17.464992780   17.464998443
    0.300601202   17.407202491   17.407204084   17.407209745
    0.360721443   17.340642679   17.340644272   17.340649931
    0.420841683   17.265571357   17.265572950   17.265578605
    0.480961924   17.182275872   17.182277465   17.182283117
    0.541082164   17.091068383   17.091069976   17.091075625
    0.601202405   16.992282789   16.992284382   16.992290027
    0.661322645   16.886271571   16.886273164   16.886278805
    0.721442886   16.773402603   16.773404196   16.773409833
    0.781563126   16.654055987   16.654057579   16.654063212
    0.841683367   16.528620945   16.528622538   16.528628166
    0.901803607   16.397492832   16.397494425   16.397500049
    0.961923848   16.261070282   16.261071874   16.261077494
    1.022044088   16.119752525   16.119754117   16.119759732
    1.082164329   15.973936908   15.973938500   15.973944111
    1.142284569   15.824016617   15.824018208   15.824023814
    1.202404810   15.670378623   15.670380213   15.670385815
    1.262525050   15.513401859   15.513403449   15.513409046
    1.322645291   15.353455621   15.353457210   15.353462802
    1.382765531   15.190898192   15.190899781   15.190905369
    1.442885772   15.026075691   15.026077278   15.026082862
    1.503006012   14.859321117   14.859322704   14.859328283
    1.563126253   14.690953605   14.690955191   14.690960766
    1.623246493   14.521277851   14.521279436   14.521285007
    1.683366733   14.350583713   14.350585298   14.350590864
    1.743486974   14.179145965   14.179147548   14.179153110
    1.803607214   14.007224182   14.007225764   14.007231322
    1.863727455   13.835062758   13.835064339   13.835069893
    1.923847695   13.662891023   13.662892602   13.662898153
    1.983967936   13.490923457   13.490925036   13.490930582
    2.044088176   13.319359988   13.319361565   13.319367108
    2.104208417   13.148386347   13.148387924   13.148393462
    2.164328657   12.978174491   12.978176066   12.978181601
    2.224448898   12.808883060   12.808884634   12.808890165
    2.284569138   12.640657878   12.640659451   12.640664978
    2.344689379   12.473632475   12.473634045   12.473639569
    2.404809619   12.307928627   12.307930196   12.307935717
    2.464929860   12.143656915   12.143658482   12.143664000
    2.525050100   11.980917280   11.980918846   11.980924360
    2.585170341   11.819799587   11.819801152   11.819806662
    2.645290581   11.660384178   11.660385742   11.660391249
    2.705410822   11.502742423   11.502743985   11.502749488
    2.765531062   11.346937256   11.346938816   11.346944316
    2.825651303   11.193023699   11.193025257   11.193030754
    2.885771543   11.041049373   11.041050930   11.041056424
    2.945891784   10.891054989   10.891056544   10.891062034
    3.006012024   10.743074816   10.743076370   10.743081857
    3.066132265   10.597137143   10.597138695   10.597144178
    3.126252505   10.453264705   10.453266255   10.453271735
    3.186372745   10.311475100   10.311476649   10.311482125
    3.246492986   10.171781182   10.171782729   10.171788202
    3.306613226   10.034191433   10.034192979   10.034198448
    3.366733467    9.898710314    9.898711859    9.898717325
    3.426853707    9.765338602    9.765340144    9.765345607
    3.486973948    9.634073696    9.634075236    9.634080696
    3.547094188    9.504909919    9.504911458    9.504916914
    3.607214429    9.377838791    9.377840328    9.377845780
    3.667334669    9.252849287    9.252850823    9.252856272
