# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.060120240    0.013842492    0.013842494    0.013842502
    0.120240481    0.027737213    0.027737218    0.027737234
    0.180360721    0.041736942    0.041736948    0.041736973
    0.240480962    0.055895562    0.055895570    0.055895604
    0.300601202    0.070268649    0.070268660    0.070268702
    0.360721443    0.084914090    0.084914102    0.084914155
    0.420841683    0.099892751    0.099892765    0.099892829
    0.480961924    0.115269218    0.115269234    0.115269309
    0.541082164    0.131112619    0.131112635    0.131112723
    0.601202405    0.147497552    0.147497569    0.147497672
    0.661322645    0.164505158    0.164505176    0.164505294
    0.721442886    0.182224347    0.182224365    0.182224501
    0.781563126    0.200753244    0.200753260    0.200753418
    0.841683367    0.220200884    0.220200899    0.220201080
    0.901803607    0.240689235    0.240689248    0.240689455
    0.961923848    0.262355617    0.262355626    0.262355864
    1.022044088    0.285355626    0.285355631    0.285355905
    1.082164329    0.309866700    0.309866699    0.309867014
    1.142284569    0.336092493    0.336092483    0.336092847
    1.202404810    0.364268290    0.364268269    0.364268689
    1.262525050    0.394667775    0.394667740    0.394668227
    1.322645291    0.427611562    0.427611509    0.427612076
    1.382765531    0.463478050    0.463477974    0.463478637
    1.442885772    0.502717392    0.502717286    0.502718064
    1.503006012    0.545869654    0.545869512    0.545870428
    1.563126253    0.593588742    0.593588552    0.593589638
    1.623246493    0.646674301    0.646674049    0.646675344
    1.683366733    0.706114903    0.706114573    0.706116128
    1.743486974    0.773147421    0.773146988    0.773148869
    1.803607214    0.849340081    0.849339514    0.849341808
    1.863727455    0.936710893    0.936710149    0.936712974
    1.923847695    1.037900141    1.037899161    1.037902678
    1.983967936    1.156427629    1.156426328    1.156430762
    2.044088176    1.297086604    1.297084862    1.297090530
    2.104208417    1.466565250    1.466562888    1.466570255
    2.164328657    1.674460830    1.674457579    1.674467339
    2.224448898    1.934999321    1.934994759    1.935007989
    2.284569138    2.270082305    2.270075747    2.270094176
    2.344689379    2.714965233    2.714955518    2.714982054
    2.404809619    3.329473051    3.329458100    3.329497900
    2.464929860    4.221672424    4.221648274    4.221711088
    2.525050100    5.601614338    5.601572868    5.601678526
    2.585170341    7.912066498    7.911989729    7.912181842
    2.645290581   12.151433651   12.151280173   12.151658795
    2.705410822   20.425892979   20.425588111   20.426335468
    2.765531062   33.628662639   33.628324688   33.629182117
    2.825651303   37.236578050   37.236831934   37.236323414
    2.885771543   25.489789119   25.490182896   25.489312950
    2.945891784   16.613052174   16.613272704   16.612783626
    3.006012024   12.849961267   12.850082979   12.849811897
    3.066132265   12.077823641   12.077907616   12.077715037
    3.126252505   13.537897593   13.537980505   13.537778136
    3.186372745   17.725737871   17.725851922   17.725555999
    3.246492986   25.362238468   25.362347319   25.362053768
    3.306613226   32.171376526   32.171262796   32.171553322
    3.366733467   38.132115065   38.131944911   38.132378271
    3.426853707   52.239205321   52.239234003   52.239220807
    3.486973948   74.191706766   74.192022438   74.191428006
    3.547094188   89.626118166   89.626516381   89.625898161
    3.607214429   83.498182324   83.498298369   83.498146158
    3.667334669   67.700514656   67.700585623   67.700469163
    3.727454910   66.554020038   66.554124352   66.553934070
