# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000   16.617304386   16.617309624   16.617306311
    0.060120240   16.621449668   16.621454907   16.621451596
    0.120240481   16.633901048   16.633906289   16.633902985
    0.180360721   16.654705292   16.654710536   16.654707244
    0.240480962   16.683940881   16.683946130   16.683942856
    0.300601202   16.721718839   16.721724094   16.721720842
    0.360721443   16.768183905   16.768189167   16.768185943
    0.420841683   16.823516090   16.823521359   16.823518170
    0.480961924   16.887932644   16.887937922   16.887934774
    0.541082164   16.961690482   16.961695770   16.961692670
    0.601202405   17.045089118   17.045094416   17.045091374
    0.661322645   17.138474189   17.138479498   17.138476520
    0.721442886   17.242241637   17.242246957   17.242244056
    0.781563126   17.356842683   17.356848013   17.356845199
    0.841683367   17.482789692   17.482795032   17.482792317
    0.901803607   17.620663128   17.620668477   17.620665877
    0.961923848   17.771119781   17.771125138   17.771122669
    1.022044088   17.934902530   17.934907893   17.934905575
    1.082164329   18.112851967   18.112857332   18.112855186
    1.142284569   18.305920276   18.305925639   18.305923693
    1.202404810   18.515187904   18.515193260   18.515191544
    1.262525050   18.741883672   18.741889013   18.741887563
    1.322645291   18.987409182   18.987414499   18.987413358
    1.382765531   19.253368657   19.253373938   19.253373156
    1.442885772   19.541605662   19.541610894   19.541610531
    1.503006012   19.854248699   19.854253862   19.854253992
    1.563126253   20.193768291   20.193773360   20.193774071
    1.623246493   20.563049181   20.563054127   20.563055527
    1.683366733   20.965482623   20.965487407   20.965489628
    1.743486974   21.405085734   21.405090305   21.405093512
    1.803607214   21.886657847   21.886662140   21.886666540
    1.863727455   22.415988211   22.415992141   22.415997996
    1.923847695   23.000136142   23.000139597   23.000147242
    1.983967936   23.647815217   23.647818049   23.647827919
    2.044088176   24.369929685   24.369931693   24.369944362
    2.104208417   25.180337895   25.180338804   25.180355041
    2.164328657   26.096960784   26.096960217   26.096981064
    2.224448898   27.143423793   27.143421213   27.143448118
    2.284569138   28.351532060   28.351526701   28.351561708
    2.344689379   29.765038527   29.765029271   29.765075321
    2.404809619   31.445306811   31.445292012   31.445353388
    2.464929860   33.479119600   33.479096866   33.479179750
    2.525050100   35.985421822   35.985387997   35.985500588
    2.585170341   39.097076929   39.097029769   39.097178444
    2.645290581   42.776502668   42.776452829   42.776614110
    2.705410822   45.702732479   45.702768950   45.702735605
    2.765531062   41.181088642   41.181517971   41.180562266
    2.825651303   23.875975436   23.876542414   23.875214674
    2.885771543   15.348535729   15.348640629   15.348365540
    2.945891784   18.112054612   18.112007278   18.112090604
    3.006012024   23.490714957   23.490667066   23.490757882
    3.066132265   29.225237140   29.225212286   29.225254428
    3.126252505   35.202998780   35.202992709   35.202996311
    3.186372745   41.263492678   41.263475016   41.263520712
    3.246492986   45.347729121   45.347601522   45.347957054
    3.306613226   45.537377651   45.537238882   45.537650546
    3.366733467   49.035151489   49.035261114   49.035070211
    3.426853707   53.192644047   53.192934903   53.192357189
    3.486973948   46.232986365   46.233191246   46.232843732
    3.547094188   22.387676816   22.387564465   22.387813338
    3.607214429   -5.754906304   -5.755174966   -5.754767237
    3.667334669  -14.025619998  -14.025740625  -14.025565120
    3.727454910  -17.577121684  -17.577362834  -17.576993185
    3.787575150  -34.586518272  -34.586754593  -34.586342026
    3.847695391  -42.187852124  -42.187912712  -42.187794725
    3.907815631  -36.832704934  -36.832713843  -36.832696417
    3.967935872  -29.518240559  -29.518255463  -29.518225622
    4.028056112  -23.949672522  -23.949701524  -23.949636242
    4.088176353  -19.776365663  -19.776370844  -19.776346640
    4.148296593  -15.595785427  -15.595779215  -15.595775539
    4.208416834  -11.435809671  -11.435804675  -11.435796857
    4.268537074   -7.484384777   -7.484381675   -7.484367355
    4.328657315   -3.867023368   -3.867024406   -3.866998103
    4.388777555   -0.847422867   -0.847452390   -0.847364163
    4.448897796   -0.002815061   -0.002906252   -0.002698116
    4.509018036   -2.611073260   -2.611107338   -2.611077973
    4.569138277   -6.314894843   -6.314887461   -6.314965793
    4.629258517   -6.656570009   -6.656602760   -6.656580207
    4.689378758   -4.713864283   -4.713893013   -4.713862325
    4.749498998   -2.369640612   -2.369620090   -2.369672790
    4.809619238   -3.427527026   -3.427394443   -3.427654247
    4.869739479   -5.788169454   -5.788122946   -5.788229560
    4.929859719   -5.220050766   -5.220097092   -5.220032452
    4.989979960   -5.413396943   -5.413471259   -5.413353666
    5.050100200   -5.311811217   -5.311839922   -5.311820839
    5.110220441   -4.849243128   -4.849223182   -4.849300285
    5.170340681   -2.982332912   -2.982322538   -2.982372355
    5.230460922    0.421340067    0.421337608    0.421316411
    5.290581162    3.298811506    3.298812472    3.298796525
    5.350701403    1.697142035    1.697170990    1.697134426
    5.410821643   -3.789683564   -3.789624751   -3.789718621
    5.470941884   -7.966891216   -7.966811457   -7.966950083
    5.531062124  -11.934217732  -11.934173448  -11.934246227
    5.591182365  -13.298300385  -13.298319049  -13.298285888
    5.651302605  -12.944927526  -12.944958722  -12.944916531
    5.711422846  -12.740627783  -12.740667860  -12.740608458
    5.771543086  -12.835399849  -12.835419582  -12.835373552
    5.831663327  -13.737250081  -13.737237243  -13.737248409
    5.891783567  -12.740682170  -12.740686016  -12.740683217
    5.951903808  -11.286471758  -11.286499395  -11.286462358
    6.012024048  -11.336716589  -11.336752963  -11.336701369
    6.072144289  -11.240527617  -11.240535760  -11.240535301
    6.132264529  -11.179223761  -11.179203869  -11.179237372
    6.192384770  -12.084742530  -12.084724312  -12.084740935
    6.252505010  -12.505910702  -12.505908761  -12.505909439
    6.312625251  -11.795114253  -11.795118683  -11.795116552
    6.372745491  -11.686949868  -11.686956672  -11.686955744
    6.432865731  -11.695313277  -11.695328850  -11.695313644
    6.492985972  -11.162514177  -11.162527412  -11.162513958
    6.553106212  -10.205114642  -10.205119115  -10.205117751
    6.613226453   -9.142100483   -9.142102704   -9.142104384
    6.673346693   -8.134988330   -8.134990218   -8.134992303
    6.733466934   -7.188658823   -7.188660854   -7.188662764
    6.793587174   -6.328903205   -6.328907058   -6.328906602
    6.853707415   -5.798534696   -5.798545805   -5.798535196
    6.913827655   -5.933700206   -5.933718847   -5.933693160
    6.973947896   -6.504273705   -6.504293330   -6.504261792
    7.034068136   -6.432778658   -6.432787562   -6.432775759
    7.094188377   -5.705544193   -5.705550500   -5.705543989
    7.154308617   -4.927371573   -4.927373733   -4.927375913
    7.214428858   -4.670233475   -4.670213487   -4.670259601
    7.274549098   -5.275182871   -5.275160345   -5.275210910
    7.334669339   -5.542343426   -5.542352890   -5.542337847
    7.394789579   -5.561896856   -5.561913874   -5.561882491
    7.454909820   -5.231129650   -5.231129940   -5.231135846
    7.515030060   -5.171643774   -5.171612327   -5.171686750
    7.575150301   -5.582234705   -5.582210133   -5.582265753
    7.635270541   -5.386636880   -5.386634485   -5.386639089
    7.695390782   -4.924476364   -4.924475415   -4.924475767
    7.755511022   -4.495194188   -4.495199813   -4.495187969
    7.815631263   -4.292452682   -4.292460884   -4.292442031
    7.875751503   -4.187505512   -4.187505541   -4.187501545
    7.935871743   -4.055115589   -4.055116013   -4.055111306
    7.995991984   -3.962988219   -3.962989667   -3.962984495
    8.056112224   -3.527978003   -3.527978426   -3.527976498
    8.116232465   -2.903198823   -2.903198921   -2.903198021
    8.176352705   -2.384237301   -2.384240553   -2.384234192
    8.236472946   -2.485098910   -2.485110327   -2.485089018
    8.296593186   -3.193092067   -3.193102660   -3.193080055
    8.356713427   -4.237621534   -4.237630313   -4.237611192
    8.416833667   -4.619465620   -4.619467001   -4.619465002
    8.476953908   -4.393163694   -4.393163072   -4.393163437
    8.537074148   -4.025768394   -4.025766444   -4.025769681
    8.597194389   -3.726681146   -3.726684410   -3.726679053
    8.657314629   -3.775087371   -3.775089134   -3.775089847
    8.717434870   -3.854423326   -3.854428124   -3.854422498
    8.777555110   -3.969330822   -3.969338653   -3.969326546
    8.837675351   -4.076729606   -4.076730172   -4.076731673
    8.897795591   -3.948939749   -3.948939768   -3.948943533
    8.957915832   -3.749013863   -3.749013731   -3.749018264
    9.018036072   -3.421432193   -3.421430723   -3.421437480
    9.078156313   -2.992613178   -2.992611141   -2.992618465
    9.138276553   -2.560600438   -2.560598577   -2.560604941
    9.198396794   -2.279060213   -2.279059402   -2.279063805
    9.258517034   -2.421329788   -2.421331462   -2.421331613
    9.318637275   -2.635469046   -2.635471914   -2.635471286
    9.378757515   -2.783363808   -2.783368788   -2.783364725
    9.438877756   -3.031265485   -3.031278752   -3.031260289
    9.498997996   -3.534289447   -3.534295309   -3.534290083
    9.559118236   -3.826957171   -3.826954396   -3.826963762
    9.619238477   -3.744419731   -3.744417309   -3.744426122
