# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   16.612102488   16.612107651   16.612104855
    0.060120240   16.598486419   16.598491580   16.598488776
    0.120240481   16.572352330   16.572357486   16.572354668
    0.180360721   16.538046740   16.538051890   16.538049052
    0.240480962   16.495747761   16.495752905   16.495750043
    0.300601202   16.445610513   16.445615648   16.445612758
    0.360721443   16.387816345   16.387821470   16.387818549
    0.420841683   16.322571257   16.322576370   16.322573416
    0.480961924   16.250103930   16.250109029   16.250106038
    0.541082164   16.170663602   16.170668686   16.170665657
    0.601202405   16.084517824   16.084522891   16.084519821
    0.661322645   15.991950135   15.991955182   15.991952071
    0.721442886   15.893257687   15.893262712   15.893259560
    0.781563126   15.788748870   15.788753872   15.788750678
    0.841683367   15.678740954   15.678745931   15.678742695
    0.901803607   15.563557789   15.563562737   15.563559460
    0.961923848   15.443527580   15.443532499   15.443529182
    1.022044088   15.318980777   15.318985663   15.318982308
    1.082164329   15.190248074   15.190252926   15.190249535
    1.142284569   15.057658561   15.057663377   15.057659951
    1.202404810   14.921538009   14.921542786   14.921539328
    1.262525050   14.782207325   14.782212061   14.782208574
    1.322645291   14.639981161   14.639985854   14.639982342
    1.382765531   14.495166689   14.495171338   14.495167802
    1.442885772   14.348062531   14.348067133   14.348063577
    1.503006012   14.198957850   14.198962403   14.198958831
    1.563126253   14.048131592   14.048136095   14.048132508
    1.623246493   13.895851867   13.895856318   13.895852721
    1.683366733   13.742375470   13.742379868   13.742376264
    1.743486974   13.587947524   13.587951867   13.587948260
    1.803607214   13.432801241   13.432805528   13.432801920
    1.863727455   13.277157782   13.277162013   13.277158407
    1.923847695   13.121226223   13.121230396   13.121226795
    1.983967936   12.965203593   12.965207706   12.965204113
    2.044088176   12.809274992   12.809279046   12.809275463
    2.104208417   12.653613779   12.653617773   12.653614203
    2.164328657   12.498381805   12.498385739   12.498382184
    2.224448898   12.343729703   12.343733576   12.343730039
    2.284569138   12.189797209   12.189801020   12.189797503
    2.344689379   12.036713521   12.036717270   12.036713775
    2.404809619   11.884597680   11.884601367   11.884597896
    2.464929860   11.733558971   11.733562597   11.733559151
    2.525050100   11.583697338   11.583700902   11.583697483
    2.585170341   11.435103806   11.435107309   11.435103919
    2.645290581   11.287860911   11.287864353   11.287860992
    2.705410822   11.142043126   11.142046507   11.142043176
    2.765531062   10.997717288   10.997720609   10.997717310
    2.825651303   10.854943022   10.854946283   10.854943016
    2.885771543   10.713773151   10.713776352   10.713773119
    2.945891784   10.574254101   10.574257243   10.574254043
    3.006012024   10.436426296   10.436429379   10.436426214
    3.066132265   10.300324536   10.300327562   10.300324432
    3.126252505   10.165978370   10.165981339   10.165978243
    3.186372745   10.033412443   10.033415355   10.033412295
    3.246492986    9.902646839    9.902649697    9.902646672
    3.306613226    9.773697408    9.773700211    9.773697222
    3.366733467    9.646576069    9.646578818    9.646575864
